YearsExperience,Salary
3.745401188473625,56653.04366050623
9.50714306409916,95054.96469636478
7.319939418114051,81698.37980947587
5.986584841970366,61968.249320788105
1.5601864044243652,39822.945391782996
1.5599452033620265,42705.17928109292
0.5808361216819946,41455.323075481545
8.661761457749352,88040.97911287722
6.011150117432088,68035.58280755868
7.080725777960454,77056.2952278005
0.20584494295802447,36017.92518921654
9.699098521619943,99537.44519963802
8.324426408004218,85622.18383719433
2.1233911067827616,47430.07491304611
1.8182496720710062,43213.13545123725
1.8340450985343382,47681.54064240481
3.0424224295953772,47786.691537780884
5.247564316322379,65094.639481267805
4.319450186421157,58275.610539287314
2.9122914019804194,43068.465073202344
6.118528947223795,74310.30401588944
1.3949386065204183,41069.84660654238
2.9214464853521815,50475.692680677574
3.663618432936917,54472.39336368269
4.56069984217036,54848.04518494044
7.851759613930136,82859.09068368416
1.9967378215835974,42263.59216845134
5.142344384136116,61985.024342844714
5.924145688620425,70662.59126201292
0.46450412719997725,35271.78317447253
6.075448519014383,81959.06913915333
1.7052412368729153,42809.5777222696
0.6505159298527952,35841.36346258339
9.488855372533333,96049.75802890249
9.656320330745594,88000.38623872395
8.08397348116461,86455.2449909062
3.0461376917337066,51624.114891841076
0.9767211400638387,49153.2585428733
6.842330265121569,76934.50703194537
4.4015249373960135,62318.41127344016
1.2203823484477883,38369.1175906083
4.951769101112702,58818.99351969125
0.34388521115218396,38121.310550640395
9.093204020787821,97412.09330894862
2.587799816000169,52069.758447216416
6.62522284353982,71829.62263080504
3.1171107608941098,58833.74688093926
5.200680211778108,59395.50616848536
5.4671027934327965,71204.00502303093
1.8485445552552704,53892.09001583679
9.695846277645586,92918.24231786566
7.7513282336111455,81427.80898726416
9.394989415641891,96263.18273493144
8.948273504276488,90120.53625935441
5.978999788110851,64099.6813614453
9.218742350231167,94874.0113256483
0.884925020519195,30882.956575003842
1.959828624191452,46086.762522516074
0.45227288910538066,28568.78905256865
3.2533033076326436,60522.7951785162
3.8867728968948203,53291.14381658255
2.713490317738959,47384.124643144336
8.287375091519294,92079.2117274834
3.567533266935893,48818.41128638147
2.8093450968738076,50802.7153511373
5.426960831582485,74524.43959248952
1.4092422497476265,31827.279575427245
8.021969807540398,87076.9579454443
0.7455064367977082,36517.95902882607
9.868869366005173,102991.19992092277
7.722447692966574,77872.38029637562
1.987156815341724,37307.81464197068
0.05522117123602399,32996.25602673666
8.154614284548341,88567.22335800431
7.068573438476172,80732.47832106259
7.2900716804098735,82762.74281035399
7.712703466859457,80588.80066012374
0.7404465173409036,36344.39410719134
3.5846572854427263,56557.96336459249
1.1586905952512971,34539.07707662724
8.631034258755935,99746.11236701532
6.232981268275579,76000.033482488
3.308980248526492,47206.3442536722
0.6355835028602363,37731.852563190805
3.109823217156622,46895.35416895975
3.2518332202674705,56698.255560584555
7.29606178338064,86865.4103787015
6.3755747135521315,70525.61140310636
8.872127425763265,96921.77262656446
4.722149251619493,65118.94939601894
1.195942459383017,42481.89801565357
7.13244787222995,89411.10001887938
7.607850486168974,82028.01282316846
5.612771975694963,65520.723008077286
7.70967179954561,79520.13044869166
4.937955963643907,60486.640320680155
5.227328293819941,66205.78950966906
4.275410183585496,61633.63115918169
0.2541912674409519,33162.79286873676
1.0789142699330445,41688.31613471143
